"","B","SE","p","Comp","Variable","Approach"
"1",0.854461685138266,0.00781263966106896,0,1,"rk_ATRL","DKI"
"2",0.361217968602209,0.0143183369308761,1.26207721984838e-130,2,"rk_ATRL","DKI"
"3",-0.114225764627195,0.0159948063713186,1.08841907587886e-12,3,"rk_ATRL","DKI"
"4",0.0685905536321423,0.0155964580529525,1.12124787397249e-05,4,"rk_ATRL","DKI"
"5",-0.160140818390287,0.0159954286918309,2.51175305453726e-23,5,"rk_ATRL","DKI"
"6",0.839862914207047,0.00832090459798375,0,1,"rk_ATRR","DKI"
"7",0.367651170833165,0.014352024810016,2.43968615311836e-134,2,"rk_ATRR","DKI"
"8",-0.127675432489235,0.0160420725782229,2.23271488588258e-15,3,"rk_ATRR","DKI"
"9",0.0728924498093489,0.0156614548884507,3.35467467301533e-06,4,"rk_ATRR","DKI"
"10",-0.195594086020448,0.0159719471491392,6.88521621649386e-34,5,"rk_ATRR","DKI"
"11",0.71862765974122,0.0103089622968671,0,1,"rk_CSTL","DKI"
"12",0.40145494347891,0.0138012372698126,3.20577409016201e-169,2,"rk_CSTL","DKI"
"13",-0.32105095499406,0.0150367249010946,5.63910916296757e-96,3,"rk_CSTL","DKI"
"14",-0.0211252168425453,0.0153964253577497,0.170112119806984,4,"rk_CSTL","DKI"
"15",-0.227608115238013,0.0155459536422561,2.39385471211892e-47,5,"rk_CSTL","DKI"
"16",0.726241185120899,0.0101961234246534,0,1,"rk_CSTR","DKI"
"17",0.394097805732113,0.0138666682692805,2.81272454441488e-162,2,"rk_CSTR","DKI"
"18",-0.318163506872517,0.0150654163013886,4.84021183051057e-94,3,"rk_CSTR","DKI"
"19",-0.0256465363887071,0.0154073484389964,0.0960762759630051,4,"rk_CSTR","DKI"
"20",-0.229917300618468,0.01555102261491,3.18445154525692e-48,5,"rk_CSTR","DKI"
"21",0.805541999715579,0.0088124491580808,0,1,"rk_CGR","DKI"
"22",0.281212906486585,0.0146415132118625,8.86230719987035e-79,2,"rk_CGR","DKI"
"23",0.0448424488318615,0.0159688648991133,0.00500687875097299,3,"rk_CGR","DKI"
"24",-0.119125181541256,0.015414025872878,1.36233241944367e-14,4,"rk_CGR","DKI"
"25",0.0046418784127647,0.0160796656917835,0.772840902358112,5,"rk_CGR","DKI"
"26",0.82970379292824,0.00820504431334183,0,1,"rk_CGL","DKI"
"27",0.28134627279757,0.0146186938627087,4.43960585097148e-79,2,"rk_CGL","DKI"
"28",0.0524406761290396,0.0159409480542773,0.0010115117399261,3,"rk_CGL","DKI"
"29",-0.137988572264602,0.0153536439860162,3.793832340016e-19,4,"rk_CGL","DKI"
"30",0.0187278785906651,0.0160548047700259,0.243481780949611,5,"rk_CGL","DKI"
"31",0.651867851525386,0.0116254696804411,0,1,"rk_CG_hippocampusL","DKI"
"32",0.309152169492408,0.0145920087705929,1.3302599583612e-94,2,"rk_CG_hippocampusL","DKI"
"33",-0.0756661833393276,0.0160290227102571,2.4306570627474e-06,3,"rk_CG_hippocampusL","DKI"
"34",0.391741479770889,0.0143578820836555,1.03428004894862e-150,4,"rk_CG_hippocampusL","DKI"
"35",0.32466645058626,0.0153494986890107,2.58754377713592e-94,5,"rk_CG_hippocampusL","DKI"
"36",0.721506191372332,0.0105371898904991,0,1,"rk_CG_hippocampusR","DKI"
"37",0.288222626458428,0.0146733910452919,3.73171384737911e-82,2,"rk_CG_hippocampusR","DKI"
"38",-0.0958041883273468,0.0159793314512236,2.20408803657657e-09,3,"rk_CG_hippocampusR","DKI"
"39",0.297577576122269,0.0148777513841079,5.5696552495165e-85,4,"rk_CG_hippocampusR","DKI"
"40",0.304608834617085,0.0154254862385002,5.66176673271512e-83,5,"rk_CG_hippocampusR","DKI"
"41",0.742493037755717,0.0095972793912396,0,1,"rk_FMIN","DKI"
"42",0.265302991774237,0.0143929584256117,6.06186346106742e-73,2,"rk_FMIN","DKI"
"43",0.090652620420161,0.0155970378063623,6.63771252665518e-09,3,"rk_FMIN","DKI"
"44",-0.138152086602056,0.0150583353980931,7.03404704911806e-20,4,"rk_FMIN","DKI"
"45",-0.0289965672631744,0.0157485230127301,0.0656611777229032,5,"rk_FMIN","DKI"
"46",0.731552725351175,0.0100545012910189,0,1,"rk_FMAJ","DKI"
"47",0.294225705631357,0.014427962451256,4.15319521759858e-88,2,"rk_FMAJ","DKI"
"48",-0.193543151409315,0.0155415667357984,5.75361315265939e-35,3,"rk_FMAJ","DKI"
"49",-0.0970924780065828,0.015305190239336,2.48645805957445e-10,4,"rk_FMAJ","DKI"
"50",0.131425442593625,0.0157953108042686,1.18039882374411e-16,5,"rk_FMAJ","DKI"
"51",0.866939014961931,0.00719667715891547,0,1,"rk_IFOFL","DKI"
"52",0.331078469424001,0.0143593655880813,1.12114888449407e-110,2,"rk_IFOFL","DKI"
"53",0.0406012108152036,0.0159475774639442,0.0109355522564896,3,"rk_IFOFL","DKI"
"54",-0.087032289565988,0.0154430631768957,1.86124208447879e-08,4,"rk_IFOFL","DKI"
"55",-0.0522653649121579,0.0160347847303072,0.00112524399603561,5,"rk_IFOFL","DKI"
"56",0.883055173084077,0.0066790441001976,0,1,"rk_IFOFR","DKI"
"57",0.308415065773731,0.0144731413672662,1.25624473960941e-95,2,"rk_IFOFR","DKI"
"58",0.0201504530742645,0.0159478655179352,0.206474384080901,3,"rk_IFOFR","DKI"
"59",-0.114768447864,0.0153895583903333,1.07062626679321e-13,4,"rk_IFOFR","DKI"
"60",-0.0224953189731886,0.0160424697166088,0.160921003462219,5,"rk_IFOFR","DKI"
"61",0.875496812233615,0.00701028037073357,0,1,"rk_ILFL","DKI"
"62",0.303091698583224,0.0145441381731819,9.71855410593905e-92,2,"rk_ILFL","DKI"
"63",-0.0371839753380415,0.0159835954228296,0.0200468043756476,3,"rk_ILFL","DKI"
"64",-0.119680202886888,0.0154226656640595,1.06575153187387e-14,4,"rk_ILFL","DKI"
"65",0.0703067059725329,0.0160521205383203,1.21710675212295e-05,5,"rk_ILFL","DKI"
"66",0.875927959760552,0.00701209666445336,0,1,"rk_ILFR","DKI"
"67",0.32339227230351,0.0144438300631828,8.01269672995117e-105,2,"rk_ILFR","DKI"
"68",0.0149865684772338,0.0159995706795054,0.348975685340643,3,"rk_ILFR","DKI"
"69",-0.106681556903624,0.0154529559567919,5.85275296354369e-12,4,"rk_ILFR","DKI"
"70",0.075335070266639,0.016053695334339,2.78465712785212e-06,5,"rk_ILFR","DKI"
"71",0.886261919828164,0.00668180162799577,0,1,"rk_SLFL","DKI"
"72",0.281558359107012,0.0146547899050155,7.94686147442245e-79,2,"rk_SLFL","DKI"
"73",0.0172940093301717,0.0159969121742443,0.279723516018657,3,"rk_SLFL","DKI"
"74",-0.195964763200781,0.0152351960612871,3.81204444741894e-37,4,"rk_SLFL","DKI"
"75",0.0457542014433341,0.0160788995288195,0.00445480512739767,5,"rk_SLFL","DKI"
"76",0.882677046255459,0.00685229655747097,0,1,"rk_SLFR","DKI"
"77",0.285920455524177,0.0146595110856949,4.47285232575429e-81,2,"rk_SLFR","DKI"
"78",0.0136494222111816,0.0160232003133869,0.394345278439847,3,"rk_SLFR","DKI"
"79",-0.194147831041774,0.0152660730787379,2.29301412023613e-36,4,"rk_SLFR","DKI"
"80",0.0191235130069973,0.0161176347982101,0.235495437825068,5,"rk_SLFR","DKI"
"81",0.726122981019183,0.0101820915398361,0,1,"rk_UFL","DKI"
"82",0.334130663476623,0.0142358213724652,2.21467580984787e-114,2,"rk_UFL","DKI"
"83",0.372486188729185,0.0147452208430001,6.02143561565758e-131,3,"rk_UFL","DKI"
"84",0.0230579455525836,0.0153975033889825,0.134337412548944,4,"rk_UFL","DKI"
"85",-0.162366206172089,0.0157469873594103,1.25782827126007e-24,5,"rk_UFL","DKI"
"86",0.716917357062769,0.0103853774337008,0,1,"rk_UFR","DKI"
"87",0.302918724085944,0.0144376291914967,6.64034907016101e-93,2,"rk_UFR","DKI"
"88",0.414977862198623,0.0144991412138319,2.38433323640516e-164,3,"rk_UFR","DKI"
"89",0.0451057597205655,0.0154161965163322,0.00345390612311172,4,"rk_UFR","DKI"
"90",-0.150257346771878,0.0158084680223595,3.31409857257967e-21,5,"rk_UFR","DKI"
"91",0.785407924165644,0.00908373254276322,0,1,"rk_SLFTL","DKI"
"92",0.257377263327962,0.0146479681483569,1.10895363598362e-66,2,"rk_SLFTL","DKI"
"93",0.071840673496531,0.0158430421061171,5.93889494504936e-06,3,"rk_SLFTL","DKI"
"94",-0.144623212812537,0.0152609382348878,4.31731183811256e-21,4,"rk_SLFTL","DKI"
"95",0.118492879327639,0.0158698340478452,1.00087638103919e-13,5,"rk_SLFTL","DKI"
"96",0.777505984980179,0.00905858772838083,0,1,"rk_SLTFR","DKI"
"97",0.211882148285214,0.014708965943599,6.3277586377887e-46,2,"rk_SLTFR","DKI"
"98",0.0207454844187093,0.0157607595438226,0.18815586270966,3,"rk_SLTFR","DKI"
"99",-0.193589046718124,0.0150097346574221,2.467590894378e-37,4,"rk_SLTFR","DKI"
"100",0.126604156985237,0.0157340447757194,1.10690114728628e-15,5,"rk_SLTFR","DKI"
"101",0.655421578525037,0.0118041590201376,0,1,"ak_ATRL","DKI"
"102",-0.491328748358175,0.0135078432283386,3.55876252432281e-251,2,"ak_ATRL","DKI"
"103",-0.0620892882233226,0.0162215030422892,0.000131341351524847,3,"ak_ATRL","DKI"
"104",0.273945919355526,0.0151915586977624,5.25554712700187e-70,4,"ak_ATRL","DKI"
"105",-0.167819550759617,0.0161353264900109,5.03981858362793e-25,5,"ak_ATRL","DKI"
"106",0.600512891104835,0.0124568198187149,0,1,"ak_ATRR","DKI"
"107",-0.49777824108752,0.0134108925089115,4.21267759261658e-260,2,"ak_ATRR","DKI"
"108",-0.105742869770715,0.016130650709681,6.24116581829398e-11,3,"ak_ATRR","DKI"
"109",0.308994553450059,0.0149899443520068,6.79739745156791e-90,4,"ak_ATRR","DKI"
"110",-0.193500128564139,0.0160286452516961,5.37434414257224e-33,5,"ak_ATRR","DKI"
"111",0.511964044370977,0.0134036693495066,3.36600314376269e-273,1,"ak_CSTL","DKI"
"112",-0.503013470512409,0.0133760149386966,5.2215217805299e-266,2,"ak_CSTL","DKI"
"113",-0.284228512144236,0.0156053882973707,2.51309642936094e-71,3,"ak_CSTL","DKI"
"114",0.0390085266052331,0.0157504216338127,0.0133018353955414,4,"ak_CSTL","DKI"
"115",-0.215346856985882,0.0159723410792801,1.44682760175893e-40,5,"ak_CSTL","DKI"
"116",0.526761474751455,0.0133372852119578,3.23589989658092e-289,1,"ak_CSTR","DKI"
"117",-0.487930716657942,0.0135847451542201,9.51787160570505e-246,2,"ak_CSTR","DKI"
"118",-0.309852969090154,0.0155546721731964,2.45052814777877e-84,3,"ak_CSTR","DKI"
"119",0.0269873545672984,0.0158208015249729,0.0881186736293222,4,"ak_CSTR","DKI"
"120",-0.202014379378986,0.0160827113237445,1.55933654694036e-35,5,"ak_CSTR","DKI"
"121",0.605023522738351,0.0122460069519887,0,1,"ak_CGR","DKI"
"122",-0.459176146406284,0.0136041618570246,1.74788042452396e-220,2,"ak_CGR","DKI"
"123",-0.0805445856198154,0.0160363088138552,5.31445697866383e-07,3,"ak_CGR","DKI"
"124",-0.0463982340446107,0.015608094984406,0.00296914627666374,4,"ak_CGR","DKI"
"125",0.0607632348981409,0.0161539679049075,0.00017126200636715,5,"ak_CGR","DKI"
"126",0.614231139531431,0.0120514757202808,0,1,"ak_CGL","DKI"
"127",-0.483850683674493,0.0133199300219675,1.34102122162731e-250,2,"ak_CGL","DKI"
"128",-0.0588187988542068,0.015992839600163,0.000238264739617072,3,"ak_CGL","DKI"
"129",0.00359556874305092,0.0155603130591708,0.817269645085324,4,"ak_CGL","DKI"
"130",0.058575223875565,0.0160889725004941,0.00027526158144592,5,"ak_CGL","DKI"
"131",0.563994452216901,0.0128246730657253,0,1,"ak_CG_hippocampusL","DKI"
"132",-0.421396965104701,0.0139981049660754,5.58751966556224e-180,2,"ak_CG_hippocampusL","DKI"
"133",-0.0360761046614123,0.0161682116868213,0.0257154691231235,3,"ak_CG_hippocampusL","DKI"
"134",0.24722742871677,0.0152307552023018,1.81919932945652e-57,4,"ak_CG_hippocampusL","DKI"
"135",0.171090631097544,0.0160529533988806,3.52793736188912e-26,5,"ak_CG_hippocampusL","DKI"
"136",0.619636600223665,0.0123737251193131,0,1,"ak_CG_hippocampusR","DKI"
"137",-0.430764175264798,0.0140962560758475,7.1078316329836e-185,2,"ak_CG_hippocampusR","DKI"
"138",-0.0584209331502732,0.016310896331672,0.000345329283032263,3,"ak_CG_hippocampusR","DKI"
"139",0.181813734819535,0.0156112739777386,7.3339370205208e-31,4,"ak_CG_hippocampusR","DKI"
"140",0.224316215784566,0.0160547464495158,2.27255740641553e-43,5,"ak_CG_hippocampusR","DKI"
"141",0.601226090436888,0.0121725737833187,0,1,"ak_FMIN","DKI"
"142",-0.491599776218082,0.0132151920723696,4.29918182749059e-261,2,"ak_FMIN","DKI"
"143",0.195596169773411,0.0156917921244913,5.00060938048056e-35,3,"ak_FMIN","DKI"
